"id","code","name"
"02071300","0207.13.00","0207.13.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De aves da espécie Gallus domesticus: -- Pedaços e miudezas, frescos ou refrigerados"
"02071400","0207.14.00","0207.14.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De aves da espécie Gallus domesticus: -- Pedaços e miudezas, congelados"
"02072400","0207.24.00","0207.24.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De peruas e de perus: -- Não cortadas em pedaços, frescas ou refrigeradas"
"02072500","0207.25.00","0207.25.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De peruas e de perus: -- Não cortadas em pedaços, congeladas"
"02072600","0207.26.00","0207.26.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De peruas e de perus: -- Pedaços e miudezas, frescos ou refrigerados"
"02072700","0207.27.00","0207.27.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De peruas e de perus: -- Pedaços e miudezas, congelados"
"02074100","0207.41.00","0207.41.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Não cortadas em pedaços, frescas ou refrigeradas"
"02074200","0207.42.00","0207.42.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Não cortadas em pedaços, congeladas"
"02074300","0207.43.00","0207.43.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Fígados gordos (foies gras), frescos ou refrigerados"
"02074400","0207.44.00","0207.44.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Outras, frescas ou refrigeradas"
"02074500","0207.45.00","0207.45.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De patos: -- Outras, congeladas"
"02075100","0207.51.00","0207.51.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Não cortadas em pedaços, frescas ou refrigeradas"
"02075200","0207.52.00","0207.52.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Não cortadas em pedaços, congeladas"
"02075300","0207.53.00","0207.53.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Fígados gordos (foies gras), frescos ou refrigerados"
"02075400","0207.54.00","0207.54.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Outras, frescas ou refrigeradas"
"02075500","0207.55.00","0207.55.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De gansos: -- Outras, congeladas"
"02076000","0207.60.00","0207.60.00 Carnes e miudezas, comestíveis. Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05. - De galinhas-d'angola (pintadas)"
"02081000","0208.10.00","0208.10.00 Carnes e miudezas, comestíveis. Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De coelhos ou lebres"
"02083000","0208.30.00","0208.30.00 Carnes e miudezas, comestíveis. Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De primatas"
"02084000","0208.40.00","0208.40.00 Carnes e miudezas, comestíveis. Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De baleias, golfinhos e botos (mamíferos da ordem Cetacea); de peixes-boi (manatins) e dugongos (mamíferos da ordem Sirenia); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem Pinnipedia)"
"02085000","0208.50.00","0208.50.00 Carnes e miudezas, comestíveis. Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De répteis (incluindo as serpentes e as tartarugas marinhas)"
"02086000","0208.60.00","0208.60.00 Carnes e miudezas, comestíveis. Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - De camelos e outros camelídeos (Camelidae)"
"02089000","0208.90.00","0208.90.00 Carnes e miudezas, comestíveis. Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas. - Outras"
"02091011","0209.10.11","0209.10.11 Carnes e miudezas, comestíveis. Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados). - De porco Toucinho Fresco, refrigerado ou congelado"
"02091019","0209.10.19","0209.10.19 Carnes e miudezas, comestíveis. Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados). - De porco Toucinho Outros"
"02091021","0209.10.21","0209.10.21 Carnes e miudezas, comestíveis. Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados). - De porco Gordura Fresca, refrigerada ou congelada"
"02091029","0209.10.29","0209.10.29 Carnes e miudezas, comestíveis. Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados (fumados). - De porco Gordura Outras"
